School_ID,Name_of_School,"Elementary,_Middle,_or_High_School",Safety_Score,Average_Student_Attendance,ISAT_Exceeding_Reading_Percent,Community_Area_Name,Community_Area_Number,Latitude,Longitude,Ward,Crime_Count
610030,Charles Kozminski Elementary Community Academy,ES,36.0,92.0%,6.1,HYDE PARK,41,41.7980295,-87.60246287,4,6021
610258,Florence B Price Elementary School,ES,20.0,90.0%,0.7,KENWOOD,39,41.81534262,-87.6038735,4,6021
609891,James R Doolittle Jr Elementary School,ES,30.0,91.4%,1.1,DOUGLAS,35,41.8310921,-87.61291629,4,6021
609894,John B Drake Elementary School,ES,59.0,93.8%,9.5,DOUGLAS,35,41.84379445,-87.61776768,4,6021
609746,Kenwood Academy High School,HS,63.0,88.4%,31.0,KENWOOD,39,41.80375479,-87.59038395,4,6021
609928,Melville W Fuller Elementary School,ES,22.0,91.8%,1.4,GRAND BOULEVARD,38,41.8180061,-87.61182077,4,6021
610018,Miriam G Canter Middle School,MS,57.0,91.4%,7.8,KENWOOD,39,41.80434474,-87.59039494,4,6021
610090,Phillip Murray Elementary Language Academy,ES,66.0,95.6%,36.0,HYDE PARK,41,41.79852501,-87.59330352,4,6021
610143,William C Reavis Math & Science Specialty Elementary School,ES,48.0,93.5%,10.1,KENWOOD,39,41.80420101,-87.6049443,4,6021
609969,Bret Harte Elementary School,ES,63.0,94.2%,21.9,HYDE PARK,41,41.7934746,-87.58686328,5,8642
610266,Dumas Technology Academy,ES,19.0,92.5%,5.8,WOODLAWN,42,41.77350389,-87.60105531,5,8642
609815,Edward A Bouchet Math & Science Academy Elementary School,ES,33.0,92.9%,7.6,SOUTH SHORE,43,41.76086093,-87.57603849,5,8642
609916,Enrico Fermi Elementary School,ES,30.0,89.9%,2.6,SOUTH SHORE,43,41.76772772,-87.59039017,5,8642
610103,Isabelle C O'Keeffe Elementary School,ES,17.0,92.1%,6.7,SOUTH SHORE,43,41.76861557,-87.57284299,5,8642
610047,James Madison Elementary School,ES,39.0,94.9%,5.1,SOUTH SHORE,43,41.75955224,-87.59067582,5,8642
610146,Paul Revere Elementary School,ES,36.0,92.4%,3.4,GREATER GRAND CROSSING,69,41.76422335,-87.60017165,5,8642
610142,William H Ray Elementary School,ES,69.0,95.1%,35.2,HYDE PARK,41,41.79234967,-87.59471544,5,8642
609977,Woodlawn Community Elementary School,ES,70.0,93.9%,22.2,WOODLAWN,42,41.77339962,-87.59435584,5,8642
610317,Brighton Park Elementary School,ES,55.0,96.3%,11.4,BRIGHTON PARK,58,41.82391375,-87.69204069,12,4374
610353,Calmeca Academy of Fine Arts and Dual Language,ES,58.0,96.5%,10.3,BRIGHTON PARK,58,41.82440547,-87.71160875,12,4374
609966,Charles G Hammond Elementary School,ES,40.0,95.3%,5.8,SOUTH LAWNDALE,30,41.85269133,-87.69627777,12,4374
610174,James Shields Elementary School,ES,38.0,97.0%,12.7,BRIGHTON PARK,58,41.81593528,-87.68968453,12,4374
609829,John C Burroughs Elementary School,ES,50.0,95.6%,16.0,BRIGHTON PARK,58,41.8288631,-87.69249318,12,4374
610184,John Spry Elementary Community School,ES,66.0,96.2%,7.3,SOUTH LAWNDALE,30,41.84815451,-87.69912725,12,4374
610017,Maria Saucedo Elementary Scholastic Academy,ES,60.0,96.8%,16.0,SOUTH LAWNDALE,30,41.84796859,-87.69728712,12,4374
609921,Telpochcalli Elementary School,ES,42.0,95.4%,7.3,SOUTH LAWNDALE,30,41.84797834,-87.6966316,12,4374
610039,Carl von Linne Elementary School,ES,68.0,95.8%,15.1,AVONDALE,21,41.94001885,-87.70259825,33,3659
609857,Grover Cleveland Elementary School,ES,64.0,95.0%,15.8,IRVING PARK,16,41.9520147,-87.70642927,33,3659
609792,Newton Bateman Elementary School,ES,55.0,96.2%,16.1,IRVING PARK,16,41.95823045,-87.70218806,33,3659
610354,North River Elementary School,ES,67.0,95.6%,13.7,ALBANY PARK,14,41.96173669,-87.70718808,33,3659
609988,Patrick Henry Elementary School,ES,45.0,95.1%,12.3,IRVING PARK,16,41.95896179,-87.71566829,33,3659
610005,Charles Evans Hughes Elementary School,ES,42.0,94.4%,4.7,NORTH LAWNDALE,29,41.86049033,-87.73177486,24,13257
610194,Charles Sumner  Math & Science Community Acad Elementary School,ES,41.0,93.9%,9.7,WEST GARFIELD PARK,26,41.87084922,-87.73355414,24,13257
609873,Crown Community Academy of Fine Arts Center Elementary School,ES,27.0,92.5%,8.8,NORTH LAWNDALE,29,41.85266155,-87.7125068,24,13257
610221,Daniel Webster Elementary School,ES,48.0,94.8%,21.0,WEST GARFIELD PARK,26,41.86988904,-87.72748159,24,13257
610254,Dvorak Technology Academy,ES,46.0,94.2%,10.4,NORTH LAWNDALE,29,41.85885599,-87.71574626,24,13257
610503,Frazier Prospective IB Magnet Elementary School,ES,60.0,96.8%,25.4,NORTH LAWNDALE,29,41.86695871,-87.72631742,24,13257
610293,Genevieve Melody Elementary School,ES,61.0,92.1%,6.3,WEST GARFIELD PARK,26,41.87474954,-87.73051772,24,13257
